2025-08-28T20:40:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=38": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:41:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=39": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:42:11-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=40": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:43:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=41": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:44:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=42": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:45:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=43": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:46:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=44": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:47:12-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=45": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:48:13-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=46": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
2025-08-28T20:49:10-06:00 [ERROR] loop_manager | Error requesting minute data: all 3 attempts failed, last error: API request failed: request failed: Get "https://emdii-webtool.foxconn-na.com/api/getPPIDRecords?date=28-Aug-2025&hour=20&minute=47": dial tcp: lookup emdii-webtool.foxconn-na.com: no such host
